,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,Year
76198,tt4934950,Talvar,Talvar,2015,2015-10-02,"Crime, Drama, Mystery",132,India,Hindi,Meghna Gulzar,"Vishal Bhardwaj, Aditya Nimbalkar",Junglee Pictures,"Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Sohum Shah, Atul Kumar, Gajraj Rao, Prakash Belawadi, Shishir Sharma, Deepak Arora, Sakshi Bhatia, Purnendu Bhattacharya, Sandeep Dhabale, Vijay Kumar Dogra, Sumit Gulati, Vipin Katyal",An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,8.2,29977,,$ 342370,$ 6879098,,89.0,39.0,2015
76199,tt4935084,La calle de la amargura,La calle de la amargura,2015,2015-09-15,"Crime, Drama",99,Mexico,Spanish,Arturo Ripstein,"Paz Alicia Garciadiego, Paz Alicia Garciadiego",Productora 35,"Patricia Reyes Spíndola, Nora Velázquez, Silvia Pasquel, Alejandro Suárez, Metztli Adamina, Rakel Adriana, Paola Arroyo, Víctor Carpinteiro, Greta Cervantes, Carlos Chavez, Emoé de la Parra, Manuel Diaz, Alberto Estrella, Samuel Gallegos, Erando Gonzalez","In the early morning hours, two elderly whores go back to their hovels. They are not tired from working. They are tired of not doing do. One has problems at home with her teenage daughter ...",6.5,253,,,$ 7888,62.0,1.0,24.0,2015
76200,tt4935110,Dol-yeon-byeon-i,Dol-yeon-byeon-i,2015,2015-10-22,Comedy,92,South Korea,Korean,Oh-Kwang Kwon,Oh-Kwang Kwon,WooSan Film,"Kwang-Soo Lee, Cheon-hee Lee, Bo-Young Park, Kang Bong-Sung, Jae-Hyun Choi, Ji-ho Choi, Kook-jin Han, Gwang Jang, Hye-jin Jeon, In-gi Jeong, Park Ji-Yeon, Kwang-Hyun Joo, Jin-ah Kang, Hee-won Kim, Byung-Joon Lee",Park Goo (Lee Kwang-Soo) mutates into a man-fish due to side effects from an experimental drug. He receives heavy publicity and becomes a star. A conspiracy by the pharmaceutical company ...,6.2,459,,,$ 634108,,2.0,11.0,2015
76201,tt4935158,Demon,Demon,2015,2015-10-16,"Drama, Fantasy, Horror",94,"Poland, Israel","Polish, English, Yiddish, Russian",Marcin Wrona,"Pawel Maslona, Marcin Wrona",Telewizja Polska,"Itay Tiran, Agnieszka Zulewska, Andrzej Grabowski, Tomasz Schuchardt, Katarzyna Herman, Adam Woronowicz, Wlodzimierz Press, Tomasz Zietek, Cezary Kosinski, Katarzyna Gniewkowska, Maja Barelkowska, Anna Smolowik, Maria Debska, Piotr Domalewski, Filip Plawiak","A bridegroom is possessed by an unquiet spirit in the midst of his own wedding celebration, in this clever take on the Jewish legend of the dybbuk.",6.1,4981,,$ 104038,$ 104038,80.0,27.0,97.0,2015
76203,tt4935282,"Rabin, the Last Day",Rabin: The Last Day,2015,2015-11-05,"Drama, History",153,"Israel, France","English, Hebrew",Amos Gitai,"Amos Gitai, Marie-Jose Sanselme",LGM Productions,"Ischac Hiskiya, Yitzhak Hizkiya, Pini Mittelman, Michael Warshaviak, Einat Weitzman, Yogev Yefet, Tomer Sisley, Ronen Keinan, Tomer Russo, Uri Gottlieb, Ruti Asarsai, David Bilenca, Dalia Shimko, Gedalia Besser, Odelia Mora-Matalon","Itzhak Rabin's murder ended all efforts of peace, and with him the whole left wing of Israel died. The movie shows the last of his days as prime minister, and what led to his murder.",6.0,354,,$ 28411,$ 28411,66.0,2.0,29.0,2015
76215,tt4937208,Abulele,Abulele,2015,2015-12-03,"Animation, Adventure, Family",90,Israel,Hebrew,Jonathan Geva,Jonathan Geva,Spiro Films,"Yoav Sadian, Idan Barkai, Bar Minali, Makram Khoury, Nati Kluger, Micha Celektar, Yehuda Mor, Oded Leopold, Liora Rivlin, Danny Karpel, Shahaf Jakubowicz, Rotem Keinan, Kai Peker, Mory Shrem","Adam's older brother was killed in a car crash a year ago. His family has not been the same since. As his parents struggle to cope with their grief, Adam (10), plagued with guilt over his ...",5.9,246,,,$ 32838,,2.0,2.0,2015
76218,tt4937812,Thoongaavanam,Thoongaavanam,2015,2015-11-10,"Action, Thriller",128,India,"Tamil, Telugu",Rajesh M. Selva,"Kamal Haasan, Frédéric Jardin",Raajkamal Films International,"Kamal Haasan, Prakash Raj, Trisha Krishnan, Kishore Kumar G., Asha Sharath, Sampath Raj, Madhu Shalini, Yugi Sethu, Uma Riyaz Khan, Jagan, Santhana Bharathi, Guru Somasundaram, Chaams, Amaan, Sandeep","A cop with a connection to the criminal underworld finds his secret life exposed when he and his partner are caught stealing cocaine from a powerful drug dealer, a move that puts his son's life in jeopardy.",7.0,1858,INR 500000000,,$ 62398,,17.0,6.0,2015
76220,tt4938292,Ekaj,Ekaj,2015,2015-11-11,"Crime, Drama",80,USA,English,Cati Gonzalez,Cati Gonzalez,Tompkins Square Park Films,"Jake Mestre, Scooter LaForge, Badd Idea, Vinny Cruz, Mario Piantini, Carlos Anaya, Prince Franco, Joey Lopez, Johnny King, Maximillian France, William Lynn, Nita Aviance, Clifton Brown Jr., Gage Of The Boone, Cati Gonzalez",'Think KIDS meets Midnight Cowboy.' EKAJ is a film packed with real life drama and a real sense of humor. The film capture's a naive teen's runaway journey to one of the most difficult ...,6.1,244,,,,,50.0,77.0,2015
76221,tt4938588,American Dirtbags,American Dirtbags,2015,2015-08-01,"Comedy, Drama",90,USA,English,Bob Place,Bob Place,C&M Productions.,"Michael Albanese, Badar, Sandra Bowman, Conrad Bromberek, Jim Florentine, Evan Fowler, Chris Franjola, Randy Garcia, Andrew George, Stacy Hall, Jake Johannsen, Laurie Kilmartin, Jen Kirkman, Andrea Laing, Lace Larrabee","A fast-paced, dark dramedy following six lovable degenerates, their terrible choices, often hilarious and tragic consequences, and unexpectedly interwoven lives.",4.4,124,,,,,2.0,,2015
76223,tt4938790,Rüzgârin Hatiralari,Rüzgârin Hatiralari,2015,2015-12-11,Drama,124,"Turkey, Germany, France, Georgia",Turkish,Özcan Alper,"Özcan Alper, Ahmet Büke",Nar Film,"Onur Saylak, Sofiya Khandamirova, Mustafa Ugurlu, Ebru Özkan, Tuba Büyüküstün, Murat Daltaban, Menderes Samancilar","Addresses the issues of ethnicity and belonging and conveys how it feels to be across the borders, not only in terms of dislocating out of the borders of a country but also in terms of struggling to exist at the margins of a society.",6.4,756,,,,,2.0,10.0,2015
76224,tt4938820,Sakli,Sakli,2015,2015-12-25,Drama,102,Turkey,Turkish,Selim Evci,Selim Evci,Evci Film Production Company,"Ilhan Sesen, Settar Tanriögen, Türkü Turan, Pelin Akil, Ümit Çirak, Sehnaz Bölen Taftali, Bâlâ Atabek, Elif Inci, Romina Özipekçi, Anastasia Beloborodova","The musician Mahir Bey has a relationship with his daughter's friend, Duru. Ali Bey goes into a disarray mode when finds out what her friend and father have done behind her back.",5.9,221,,,$ 18876,,1.0,,2015
76226,tt4939866,Einer von uns,Einer von uns,2015,2015-10-01,Drama,86,Austria,German,Stephan Richter,"Stephan Richter, Stephan Richter",Golden Girls Filmproduktion,"Jack Hofer, Simon Morzé, Christopher Schärf, Dominic Marcus Singer, Andreas Lust, Markus Schleinzer, Rainer Wöss, Birgit Linauer, Nadine Sickinger, David Wurawa","Julian, a 14-year old, dies surrounded by the colorful products of a huge supermarket. The film is inspired by a true story and shows the rebellion of the local youth against the bleak life of suburbia.",6.3,163,,,$ 21132,,2.0,11.0,2015
76242,tt4943992,Manto,Manto,2015,2015-09-11,"Biography, Drama",127,Pakistan,Urdu,Sarmad Sultan Khoosat,Shahid Nadeem,A&B Entertainment,"Sania Saeed, Shamoon Abbasi, Danyal Adam Khan, Nadia Afghan, Hina Khawaja Bayat, Nimra Bucha, Mohammed Hanif, Adnan Jaffar, Mahira Khan, Irfan Khoosat, Sarmad Sultan Khoosat, Savera Nadeem, Saba Qamar, Faysal Qureshi, Afraz Rasool","A story of a 20th-century writer ""Manto"", who grew-up in the showbiz industry of Bombay (now Mumbai) and Lahore. It focuses the last seven years of writers life during which he wrote some ...",8.5,1114,,,,,15.0,14.0,2015
76243,tt4944352,Heneral Luna,Heneral Luna,2015,2015-09-09,"Action, Biography, History",118,Philippines,"Filipino, Tagalog, English, Spanish",Jerrold Tarog,"Henry Francia, E.A. Rocha",TBA Studios,"John Arcilla, Arron Villaflor, Mon Confiado, Bing Pimentel, Mylene Dizon, Perla Bautista, Lorenz Martinez, Joem Bascon, Alvin Anson, Alex Vincent Medina, Arthur Acuña, Archie Alemania, Jeffrey Quizon, Leo Martinez, Nonie Buencamino","Set during the Philippine-American war, a short-tempered Filipino general faces an enemy more formidable than the American army: his own treacherous countrymen.",7.6,1822,,$ 206040,$ 4625639,58.0,34.0,16.0,2015
76246,tt4944460,Everyday I Love You,Everyday I Love You,2015,2015-11-08,"Drama, Romance",122,Philippines,"Filipino, Tagalog, English",Mae Czarina Cruz,"Roumella Monge, John Raphael Gonzaga",ABS-CBN Film Productions,"Enrique Gil, Liza Soberano, Gerald Anderson, Aiko Melendez, Carmina Villaroel, Ariel Rivera, Marissa Delgado, Liza Lorena, Joj Agpangan, Bryan Santos, Dwight Gaston, Carla Martinez, Olive Isidro, Eva Darren, Marita Zobel",Two people bound together in the same journey of life and fall for each other in an unexpected way.,7.0,405,,,$ 2212624,,4.0,1.0,2015
76249,tt4944620,Amama,Amama,2015,2015-09-20,Drama,103,Spain,Basque,Asier Altuna,"Asier Altuna, Telmo Esnal",Euskal Irrati Telebista (EiTB),"Kandido Uranga, Iraia Elias, Amparo Badiola, Klara Badiola, Ander Lipus, Manu Uranga, Nagore Aranburu, José Ramón Soroiz, Unax Zaldua, Aiora Zaldua, Maite Arrotajauregi, Montse Mostaza","A man runs through the woods, clearly in distress: he is carrying an elderly lady on his back while towing behind him a seemingly never-ending rope.",6.8,316,,,$ 334715,,1.0,14.0,2015
76253,tt4944932,Parbona Ami Chartey Tokey,Parbona Ami Chartey Tokey,2015,2015-09-10,"Comedy, Romance",126,India,Bengali,Raj Chakraborty,,SVF Entertainment,"Tulika Bose, Raj Chakraborty, Swastika Dutta, Kharaj Mukherjee, Koushani Mukherjee, Bonny Sengupta",Two childhood friends realize their love for each other after their circumstances draw them apart.,5.8,189,,,,,,,2015
76257,tt4946602,Yeonaeui mat,Yeonaeui mat,2015,2015-05-07,"Comedy, Romance",101,South Korea,Korean,Aaron Kim,,,"Ji-Ho Oh, Ye-won Kang, Ju-Hee Ha, Ih-joo Hong, Ryeong Choi, Chi-man Noh, Ji-won Kang, Do-Kyeong Kim, Hyeon-hee Hwang, Hye-ran Lee, Yoon-ho Ji, Woo-il Jeong, Eun-hye Kil, Ah-rom Kim, Hee-Jeong Kim",A female urologist and a male obstetrician open clinics in the same building. They become entangled and cure their own pain through each other.,6.1,239,,,$ 1492463,,1.0,,2015
76258,tt4947084,Anarkali,Anarkali,2015,2015-11-13,"Drama, Musical, Romance",160,India,Malayalam,Sachy,Sachy,Magic Moon Productions,"Prithviraj Sukumaran, Biju Menon, Kabir Bedi, Priyal Gor, Mia George, Suresh Krishna, Sudev Nair, Samskruthy Shenoy, Arun, Chempil Asokan, Sunil Babu, Renith Elamadu, Assim Jamal, Madhupal, Renji Panicker",The story of a Naval officer who falls in love with the gorgeous daughter of a harsh and disapproving Vice Admiral.,6.9,1669,,,,,5.0,1.0,2015
76262,tt4948452,L'étudiante et Monsieur Henri,L'étudiante et Monsieur Henri,2015,2015-10-07,"Comedy, Drama",98,France,French,Ivan Calbérac,"Ivan Calbérac, Ivan Calbérac",Mandarin Films,"Claude Brasseur, Guillaume de Tonquédec, Noémie Schmidt, Frédérique Bel, Thomas Solivérès, Valérie Kéruzoré, Antoine Glemain, Grégori Baquet, Anne Loiret, Nicolas Guillot, Paula Brunet-Sancho, Agnès Pichois, Céline Esperin, Guillaume Watrinet, Stéphan Wojtowicz",An elderly curmudgeon lets out a room in his large apartment rent-free to a young student - on condition that she does everything in her power to ruin his son's marriage.,6.7,3464,,$ 761,$ 5411932,,6.0,30.0,2015
76263,tt4948632,Rajkahini,Rajkahini,2015,2015-10-16,"Drama, History",160,India,Bengali,Srijit Mukherji,"Shaket Banerjee, Annapurna Basu",SVF Entertainment,"Rituparna Sengupta, Lily Chakravarty, Parno Mittra, Jaya Ahsan, Sudiptaa Chakraborty, Priyanka Sarkar, Sohini Sarkar, Saayoni Ghosh, Ridhima Ghosh, Ditipriya Roy, Ena Saha, Abir Chatterjee, Rudranil Ghosh, Saswata Chatterjee, Koushik Sen","In August 1947, the British passed a bill regarding the partition of Bengal. Delving into the grim history of the Partition, Mukherjee's movie Rajkahini is woven around a border between the...",7.2,1400,INR 30500000,,,,8.0,,2015
76265,tt4949088,Jajda,Jajda,2015,2015-09-22,Drama,90,Bulgaria,Bulgarian,Svetla Tsotsorkova,"Svetoslav Ovtcharov, Svetla Tsotsorkova",Front Film,"Monika Naydenova, Alexander Benev, Svetlana Yancheva, Ivaylo Hristov, Vassil Mihajlov, Stefan Mavrodiyev, Ivan Barnev","The Mother, the Father and their 16-year-old son live on a hill, at the end of a village. They wash hotel sheets for a living. The water supply is inconsistent and they often find ...",6.8,279,,,$ 13827,,2.0,18.0,2015
76272,tt4949324,Mohalla Assi,Mohalla Assi,2015,2015-07-01,"Comedy, Drama",150,India,Hindi,Chandra Prakash Dwivedi,,Crossword Entertainment,"Sunny Deol, Sakshi Tanwar, Ravi Kishan, Saurabh Shukla, Mukesh Tiwari, Rajendra Gupta, Mithilesh Chaturvedi, Seema Azmi, Syed Iqbal Ahmad, Alex, Alice, Alisha, Ambrish, Ishtiyaq Ansari, Arihant",A Sanskrit priest decides to take matters in n his hand when the locals of holy town Banaras stars to lure foreign tourists with fake spiritual gurus.,6.8,1497,,,,,38.0,3.0,2015
76283,tt4954968,Suguru hi no yamaneko,Suguru hi no yamaneko,2015,2015-09-19,Drama,92,Japan,Japanese,Keiko Tsuruoka,Keiko Tsuruoka,Amuse,"Tsuruko Hishinuma, Shôichi Ikeda, Yuki Izumisawa, Misaki Kinoshita, Jin Kusanagi, Maki Meguro, Mao Nakagawa, Mari Nishio, Natsumi Seto, Hiroshi Tagami, Haruki Takano, Yukine Tamenaga, Konatsu Tanaka, Ryûzô Tanaka, Yoji Tanaka","When 21-year-old Tokiko gets fired from her job, she meets a high-school student who spends most of his time painting in a small village, and they both find out they can help each other overcome their hardships by spending time together.",1.1,367,,,,,,,2015
76285,tt4955062,Jack,Jack,2015,2015-08-01,"Crime, Drama",97,Austria,German,Elisabeth Scharang,Elisabeth Scharang,Epo-Film Produktionsgesellschaft,"Christoph Bittenauer, Rainer Egger, Sarah Viktoria Frick, Michael Fuith, Corinna Harfouch, Johannes Krisch, Birgit Linauer, Sami Loris, Paulus Manker, Inge Maux, Birgit Minichmayr, Valerie Pachner, Ernst Stötzner, Roland Trnka","Jack Unterweger was and remains an enigma, elevated to celebrity status and acclaimed for his underworld-plunging poetry and fiction before being charged with the murders of 11 prostitutes in Austria and abroad.",5.9,114,,,$ 194833,,2.0,7.0,2015
76286,tt4955162,Barbie in Rock 'N Royals,Barbie in Rock 'N Royals,2015,2015-09-01,"Animation, Family",84,USA,English,"Michael Goguen, Karen J. Lloyd",Marsha F. Griffin,Mattel Playground Productions,"Kelly Sheridan, Chiara Zanni, Bethany Brown, Devyn Dalton, Michael Dobson, Brynna Drummond, Rachel Harrison, Alessandro Juliani, Peter Kelamis, Omari Newton, Ingrid Nilson, Nicole Oliver, Shaun Smyth, Kira Tozer, Adrian Petriw","Get ready to rock! In this upbeat musical, Barbie stars as Courtney, a princess whose world is turned upside down when she switches places with Erika, a famous rockstar.",6.0,658,,,$ 2243176,,8.0,5.0,2015
76289,tt4955826,Babar Naam Gandhiji,Babar Naam Gandhiji,2015,2015-10-02,Drama,106,India,Bengali,Pavel,Pavel,Jalan International Films,"Parambrata Chattopadhyay, Saayoni Ghosh, Surajit Mukherjee, Koushik Sen, Srijita Chowdhuri, Sanjay Biswas, Debdut Ghosh, Mishka Halim","Babar Naam Gandhiji is about Mahatma Gandhi and modern society through the eyes of street child. The film is based around a boy named Kencho, who has an encounter with the Father of the ...",7.0,109,,,,,1.0,,2015
76297,tt4958596,Francesca,Francesca,2015,2015-10-09,"Crime, Horror, Mystery",80,Italy,Italian,Luciano Onetti,"Luciano Onetti, Nicolás Onetti",Guante Negro Films,"Luis Emilio Rodriguez, Gustavo Dalessanro, Raúl Gederlini, Silvina Grippaldi, Evangelina Goitia, Juan Bautista Massolo, Florencia Ollé, Fernanda Cerrudo, Idiel Idiaquez, Juan María Onetti","Someone is viciously murdering people, people with criminal pasts. It appears that the murders may be linked to the disappearance of a young girl 15 years previously.",5.2,408,,,$ 2008,,12.0,47.0,2015
76298,tt4958666,Kick 2,Kick 2,2015,2015-08-21,"Action, Comedy, Romance",170,India,Telugu,"Surrender Reddy, Gogu","Vakkantham Vamsi, Vakkantham Vamsi",NTR Arts,"Ravi Teja, Rakul Preet Singh, Rajsekhar Aningi, Darbha Appaji Ambarisha, Joy Badlani, Tanikella Bharani, Brahmanandam, Nikitin Dheer, Nora Fatehi, Indrasena, Raghu Kumar Karumanchi, Ravi Kishan, Sanjay Mishra, Krishna Murali Posani, I. Srinivas Raju","An NRI doctor returns to India to sell his property, but winds up falling in love.",5.1,759,$ 4600000,,$ 3073989,,7.0,1.0,2015
76299,tt4959276,En Güzeli,En Güzeli,2015,2015-08-28,Comedy,92,Turkey,Turkish,Mustafa Ugur Yagcioglu,Mustafa Ugur Yagcioglu,,"Erkan Can, Tuvana Türkay, Mehmet Özgür, Tarik Pabuccuoglu, Cem Kiliç, Osman Karagöz, Firat Çöloglu, Irfan Kangi, Turgay Tanülkü, Bilal Çatalçekiç, Ebubekir Öztürk, Ferzan Hekimoglu, Kubra Okudan, Afra Saraçoglu, Güray Yalçin",,3.6,239,,,$ 366511,,,,2015
76300,tt4959326,Size Zero,Size Zero,2015,2015-11-27,"Comedy, Romance",125,India,"Tamil, Telugu",Prakash Kovelamudi,"Kanika Dhillon, Rakav Mirdath",PVP Cinema,"Anushka Shetty, Arya, Sonal Chauhan, Urvashi, Pavani Gangireddy, Master Bharath, Nagarjuna Akkineni, Jiiva, Ali, Anitha, Annie, Arunkumar, Ashwini, Tanikella Bharani, Brahmanandam","Sweety, an obese woman, is shocked when her friend falls sick after joining a slimming centre. So she begins a campaign to highlight the importance of being fit rather than slim.",5.4,571,,,$ 16726,,7.0,3.0,2015
76301,tt4959358,Jomer Raja Dilo Bor,Jomer Raja Dilo Bor,2015,2015-09-04,"Comedy, Musical, Romance",145,India,Bengali,Abir Sengupta,"Abir Sengupta, Aritra Sengupta",Anushree Abir Entertainment,"Abir Chatterjee, Payel Sarkar, Rajatabha Dutta, Kharaj Mukherjee, Laboni Sarkar, Anisha Mondol, Indrasish Roy, Arindam Sil, Debolina Dutta, Arunabha Dutta, Subhashish Banerjee, Sumit Samaddar, Sanjay Biswas, Bidula Bhattacharya, Anindya Sain",Jomer Raja Dilo Bor is a Surreal Romantic Comedy. The story is about a feminist author Ria Banerjee played by Payel Sarkar who hates men to the core.,5.3,135,$ 1000000,,,,1.0,,2015
76307,tt4960576,Kristen,Kristen,2015,2015-09-28,"Horror, Thriller",86,Netherlands,Dutch,Mark Weistra,Mark Weistra,,"Terence Schreurs, Poal Cairo, Jet Pagnier, Ronald Top, Howard van Dodemont","""Kristen"" is a claustrophobic thriller/horror about Kristen Welling, a fragile woman in her late twenties, who, on January first when cleaning the mess of last night's party, gets ...",5.6,317,EUR 10000,,,,5.0,7.0,2015
76310,tt4961322,Life of Josutty,Life of Josutty,2015,2015-09-18,Drama,166,India,Malayalam,Jeethu Joseph,Rajesh Varma,,"Dileep, Hareesh Peradi, Jyothi Krishna, Renjini Rupesh, Chempil Asokan, Vijayakumari, Rachana Narayanankutty, Suraj Venjaramoodu, Noby Marcose, Saju Navodaya, Krishna Prabha, P. Balachandran, Aqsa Bhatt, Koottickal Jayachandran, Jeethu Joseph","The life of a simple village boy, his first broken childhood relationship and his ridiculous adventures in New Zealand after getting marriage.",6.2,729,,,,,7.0,2.0,2015
76311,tt4961334,Two Countries,Two Countries,2015,2015-12-25,"Comedy, Drama",154,India,Malayalam,Shafi,"Najeem Koya, Raffi",Rejaputhra Visual Media,"Dileep, Mamta Mohandas, Aju Varghese, Suraj Venjaramoodu, Raffi, Vinaya Prakash, Asokan, Mukesh, Makrand Deshpande, Lena, Nick Allan, Ajmal Ameer, Srinda Ashab, Kalasala Babu, Sajitha Beti",Ullas will do anything to make money and never hesitates to cheat people. His life takes a turn when he decides to marry an Indian woman who is settled in Canada.,6.7,1596,,,$ 74236,,7.0,2.0,2015
76315,tt4964550,Water Boyy,Water Boyy,2015,2015-10-22,Romance,113,Thailand,Thai,Rachyd Kusolkulsiri,,,"Luangsodsai Anupart, Ausavapat Ausavaterakul, Nappon Gomarachun, Beam Papangkorn, Watchara Sukchum","A group of male swimmer, focusing on two of them, with their daily life. The first meeting wasn't so bad. But next thing he know, his hands was tied and his mouth choked with a cloth only ...",6.0,200,,,$ 38058,,1.0,1.0,2015
76316,tt4964580,Mae Bia,Mae Bia,2015,2015-09-17,Drama,126,Thailand,Thai,M.L. Pundhevanop Dhewakul,,Sahamongkolfilm International Company,"Shahkrit Yamnarm, Karnpitchar Ketmanee, Jiravich Pongpaijit, Sakrat Ruekthamrong, Phenphet Phenkul, Arpa Pawilai, Pongpak Meebuddee, Phattaranan Ruamchi, Chaiwat Thongsaeng","Chanachol, recently returned to Thailand after living overseas, signs up for a tour to get back in touch with Thai culture, and finds himself attracted to the tour guide, Mekhala. There are...",4.3,169,,,$ 558098,,2.0,,2015
76317,tt4964598,Freelance: Ham puay... Ham phak... Ham rak mor,Freelance: Ham puay... Ham phak... Ham rak mor,2015,2015-09-03,"Comedy, Drama, Romance",130,Thailand,Thai,Nawapol Thamrongrattanarit,Nawapol Thamrongrattanarit,GMM Tai Hub,"Sunny Suwanmethanont, Davika Hoorne, Violette Wautier, Torpong Chantabubpha, Surattanawee Suviporn, Kornpassorn Ratanameathanont, Nottapon Boonprakob, Vichai Matakul, Apinya Ingard, Panjavit Tangtongjit, Salinee Khemcharas, Atthasorn Sriraksayothin, Adisorn Tresirikasem, Banjong Pisanthanakun, Yok Sriyupa",A hard-worker freelancer who falls in love with a doctor. While his life is getting worse every second. He must find the way to release his life to the beyond of everything.,7.7,2234,THB 16000000,,,,8.0,10.0,2015
76322,tt4966266,Familienfest,Familienfest,2015,2015-10-15,Drama,90,Germany,German,Lars Kraume,"Andrea Stoll, Martin Rauhaus",UFA Fiction,"Günther Maria Halmer, Hannelore Elsner, Michaela May, Lars Eidinger, Jördis Triebel, Barnaby Metschurat, Marc Hosemann, Nele Mueller-Stöfen, Daniel Krauss, Hubertus Hartmann, Bernhard Conrad, Manfred Andrae, Dirk Tummes, Muriel Hahn, Angelika Brandau",Clashes between the estranged members of a family occur on the day of the grandfather's birthday celebration.,7.3,284,,,$ 556456,,3.0,15.0,2015
76323,tt4966278,"Kleine Ziege, sturer Bock","Kleine Ziege, sturer Bock",2015,2015-10-15,"Adventure, Comedy, Drama",95,Germany,German,Johannes Fabrick,Petra Katharina Wagner,die Film GmbH,"Wotan Wilke Möhring, Sofia Bolotina, Julia Koschitz, Wanda Perdelwitz, Karin Heine, Tilo Prückner, Oliver Törner, Andreas Windhuis, Gustl, Juta Vanaga","A man who earned his life by imitating Elvis Presley in the retired houses, with his newly reunited daughter traveling all over Europe, to deliver a sheep to Norway. A hearthwarmer road movie.",6.0,247,,,$ 67838,,4.0,10.0,2015
76326,tt4967094,Our Times,Our Times,2015,2015-08-13,"Comedy, Romance",134,Taiwan,"Mandarin, Min Nan",Yu Shan Chen,Yung-Ting Tseng,Focus Films,"Vivian Sung, Talu Wang, Dino Lee, Dewi Chien, Berry Wen-i Kuo, Yi-Chen Tsai, Alina Cheng, Ian Chen, He-Hsuan Lin, Li-Tung Chang, Kristy Cha Ray Chu, Hsin-Ling Chung, Chieh-Hui Hsu, Wei-hsun Na, Chung-Heng Chu",Love grows where it isn't expected in this endearing romantic comedy coming of age movie.,7.4,4326,,,$ 86729263,,15.0,10.0,2015
76328,tt4967920,Dabbe (Dab6e),Dabbe (Dab6e),2015,2015-09-11,"Horror, Mystery",160,Turkey,Turkish,Hasan Karacadag,"Yasar Al, Hasan Karacadag",TAFF Pictures,"Elcin Atamgüc, Ömer Duran, Nilay Gök, Fehmi Karaarslan, Murat Sevis, Sema Simsek, Aybike Turan, Burak Çimen, Volkan Ünal","Mukadder died suddenly one night. Cause of death was cerebral hemorrhage. According to her sister, the killers are different sizes. There are demons behind everything.",5.7,2329,,,$ 2146683,,9.0,4.0,2015
76334,tt4970552,Solan og Ludvig: Herfra til Flåklypa,Solan og Ludvig: Herfra til Flåklypa,2015,2015-12-25,"Animation, Family",78,Norway,Norwegian,Rasmus A. Sivertsen,"Kjell Aukrust, Karsten Fullu",Aukruststiftelsen,"Kari Ann Grønsund, Trond Høvik, Per Skjølsvik, Kåre Conradi, Fridtjov Såheim, Bjarte Hjelmeland, Steinar Sagen, John F. Brungot, Anders Bye, Jakob Oftebro, Morten Røhrt, Sara Luna Baumann Semb, Fredrikke Egeberg, Mads Iversen, Espen Sandvik","A secret bet between Solan and Olvar O. Kleppvold, he loses the house and workshop of the genious inventor Reodor Felgen, and they both bring their allies in the fight to win.",6.6,563,NOK 35800000,,$ 5204792,,1.0,16.0,2015
76339,tt4971424,Pursuit,Pursuit,2015,2015-09-18,"Action, Crime, Romance",89,Ireland,"English, Spanish",Paul Mercier,Paul Mercier,,"Ruth Bradley, Barry Ward, Liam Cunningham, Owen Roe, Brendan Gleeson, David Pearse, Don Wycherley, Dara Devaney, Dónall Ó Héalai, Ciaran O'Brien, Emmet Kirwan, Cecilia Jorge Andréasson, Stephen Blind, Aoife Mac Cana, Tony Condren",A modern day Irish gangland version of the ancient Irish legend of Diarmuid and Gráinne. Gráinne is daughter of a major crime boss and is promised to marry the great warrior Fionn to help ...,5.2,121,,,$ 15688,,1.0,2.0,2015
76340,tt4971480,Luo pao ba ai qing,Luo pao ba ai qing,2015,2015-09-04,"Comedy, Romance",103,"Taiwan, Hong Kong",Mandarin,"Richie Jen, Ande Luo","Shih-Keng Chien, Richie Jen",Media Asia Films,"Qi Shu, Richie Jen, Kung-Wei Lu, Lego Lee, Nien-Hsien Ma, Lung Ti, Lotus Wang, Haman Hu, Vivian Dawson, Bowie Tsang, Hsiu-Ching Chuang, Xu Fang","Wu is a poor local boy, who runs a bed and breakfast in Penghu. Yeh Fenfen is a rich Chinese girl, who comes from China's Shanxi Province to see the islet that she inherited from her ...",5.5,139,,,$ 144774,,,2.0,2015
76341,tt4971484,Shingekijouban Inisharu D: Legend 2: Tousou,Shingekijouban Inisharu D: Legend 2: Tousou,2015,2015-05-23,Animation,65,Japan,Japanese,Tomohito Naka,,,"Christopher Bevins, Adrienne Branz, Charles C. Campbell, Jeff Collins, Bentley Cooper, Nate Davis, Dallas Delay, Amber Marie Flores, Kenji Fukuda, Ethan Gallardo, Josh Grelle, Taylor Grossman, Gray G. Haddock, Hiroaki Hirata, Anri Katsu","After his unexpected victory over Red Sun's Keisuke, Takumi newfound fame brings forth a formal challenge from the Myogi NightKids leader, Takeshi Nakazato.",7.5,161,,,$ 220527,,,2.0,2015
